index,TTC,PET,a_p,a_l,jerk,yaw_rate,task_time,avg_delay,IO,impact
151,0.9832961624336176,1.0,0.9663752846183797,1.0,0.6459346097199666,1.0,0.24492799568256182,0.8151603541378425,0.5329914060529795,1.0
152,1.0,1.0,0.8548661764764357,0.9029690394016994,0.4358290178279139,1.0,0.5669495940322377,0.0,0.547378672345006,0.9384946330189103
153,0.6897773732088316,1.0,0.6370862602138787,1.0,0.583256345867718,1.0,0.3886072884871293,1.0,0.8536903228711598,0.8792916912280031
154,1.0,1.0,0.9617093372828591,1.0,0.7861498485104912,1.0,0.7359572309087445,0.7208021155103714,0.5421909878459367,0.9242782301244138
155,1.0,1.0,0.9596772521436155,0.9985758877133908,0.5571770593556882,1.0,0.7318433057737423,0.5695001877889114,0.5957406915111286,0.9989124856440319
156,1.0,0.9866009579944529,0.8453773765610566,0.9981798552481411,0.5806965835987214,1.0,0.646968327472996,0.0,0.6314732356173295,1.0
157,1.0,0.8018280558381136,1.0,0.9753403943324415,0.8619643413950087,1.0,0.43756225522763925,1.0,0.7396824113732259,0.8805932997077756
158,1.0,1.0,0.9017151121336564,1.0,0.6314500673142674,1.0,0.5882310984029132,0.2964270248337181,0.6784123530661909,0.991311032294198
159,1.0,1.0,0.9841208204753693,0.9486834871268425,0.4528777291875915,1.0,0.12631087046173306,0.8008692780059361,0.2586109658290194,0.8600957967098866
160,0.9259828853591654,1.0,0.5158683717430965,1.0,0.2149037002963344,1.0,0.5164800599246068,0.10526109282443022,1.0,1.0
161,0.9070682259377187,1.0,0.7579339242004577,0.36314355924231717,0.34768590327627363,0.9170332815745861,0.5693465463002356,1.0,0.6711648597369891,0.5392578752481905
162,1.0,1.0,0.6990383304237786,0.9998171357548509,0.5630542985465958,1.0,0.5484987046642129,0.5782013699299895,0.5359990034243207,0.9177261870060471
163,1.0,1.0,0.988780595430342,1.0,0.7270369103757056,1.0,0.7123124815214719,0.7479379066792844,0.4808446760319823,1.0
164,1.0,1.0,1.0,1.0,0.9034695843636649,1.0,0.7400519601734254,0.21967800952907693,0.5060273986687321,1.0
165,0.8687437176098275,1.0,0.7232487372620524,1.0,0.3823372262748058,1.0,0.5687726802053801,0.84256260067906,0.5894608331869927,0.9813608206393389
166,0.7732350244094494,0.5920237241101917,0.9051496735006259,0.9516506180476426,0.547689946742422,0.925146774071325,0.09909797440282188,0.0,0.9241208638338235,1.0
167,1.0,1.0,0.989924567936919,0.9982875298932179,0.6277882380832008,1.0,0.45745050155740774,0.5218126935507807,0.6286613801225737,1.0
168,1.0,0.7786650796198753,1.0,1.0,0.8942110021004812,1.0,0.5295413689776662,1.0,0.7748878810902726,0.8504305098174053
169,1.0,1.0,1.0,1.0,0.7376427345711591,1.0,0.48970004150953284,0.0,0.9025938969691698,0.9860123410722944
170,1.0,1.0,1.0,1.0,0.7376427345711591,1.0,0.48970004150953284,0.0,0.9025938969691698,0.9860123410722944
171,1.0,1.0,1.0,1.0,0.9094911307614878,1.0,0.7287888709880023,0.003882438733979439,0.6042908585594653,0.9955969618957251
172,1.0,1.0,0.874777760899004,0.896091961038467,0.7485198697632633,1.0,0.7663092439421967,0.6068541492366609,0.4968451870623863,1.0
173,1.0,1.0,1.0,1.0,0.6134935899160732,1.0,0.7397475986501004,0.22611685691434913,0.47213299361087213,0.9795173835857657
174,1.0,1.0,0.9726285639893256,1.0,0.5307393050160347,1.0,0.7616084482577414,0.225560938883867,0.5231814716324616,0.9981946996346033
175,1.0,1.0,0.9377022171245452,1.0,0.7472469116601941,1.0,0.7333424786584988,0.4084110474979828,0.6421928134666717,0.9547362852252619
176,1.0,1.0,0.9240329144435695,1.0,0.6622247560277749,1.0,0.6311014289697271,0.0,0.5979967880606202,1.0
177,1.0,0.8474953870103743,0.8337887798158321,0.9916255322435655,0.560794918158178,1.0,0.4305877428643926,0.0,0.88341712829531,0.9720197825107302
178,0.989971005682179,1.0,0.9992362639693877,1.0,0.8373693781073774,1.0,0.7385002229722115,0.5078629998993406,0.5205312839757676,0.9898377639320166
179,1.0,1.0,0.9998474885116978,1.0,0.722206585848365,1.0,0.753194979207936,0.4291759606929207,0.6687328973510497,0.9926875337173655
180,1.0,0.7760818549051551,0.7311388125129151,0.9985964793187012,0.6277937224312853,1.0,0.7681951481610111,0.36181329621466213,0.41413879949964694,0.8474937433931357
181,1.0,1.0,0.9995850305048011,1.0,0.5609050511886622,1.0,0.7261095291756826,0.4081732101778309,0.6870096720314599,0.957377759641926
182,1.0,0.8159516560866223,0.5748202045659424,0.933750064800291,0.300477678400404,0.999842028205336,0.558369973864807,0.0,0.5529326367053371,0.9176585788931522
183,1.0,0.791734768729599,0.5706154796534197,0.9250329680634872,0.33967233753688525,0.9998212424428802,0.5790638419088764,0.0,0.750974997766078,0.9195856557830718
184,1.0,1.0,1.0,1.0,0.8661266239295835,1.0,0.4642441768707756,0.0,0.9018297803718855,0.9693470701910585
185,1.0,0.9004520960231863,0.8615323654327521,0.9398856292022862,0.547272664374246,0.9888481225408672,0.2665348369786105,0.0,0.0007544079688647824,1.0
186,1.0,1.0,0.9686815318648971,1.0,0.439461559596275,1.0,0.6158281759260336,0.38584679572838215,0.6500026048043477,0.92235440493786
187,1.0,1.0,0.9461907739880728,1.0,0.7617932577144637,1.0,0.18896218029562917,0.0,0.7454294123061157,1.0
188,1.0,1.0,0.9371088850769814,1.0,0.439225007013435,1.0,0.7292992607751148,0.8325669250744914,0.40747435765331796,0.8454907141962116
189,0.9712270794098768,1.0,0.8795615773626535,0.9950161362958451,0.5398135139920635,1.0,0.5674061841244105,0.7342641558578947,0.5338162174552243,0.9965140112863846
190,1.0,1.0,0.9772835126273842,1.0,0.7836680466057605,1.0,0.8079187955657303,0.09776960200275141,0.5996925877379883,0.996770913181615
