index,dataset,folder,scenario_idx,track_id,ego_id,timerange,threshold_s,exp_factor,n_timesteps,TTC
254,waymo_train,waymo_500-799,111316,2204;ego,ego,"range(0, 35)",3.0,0.5,35,1.0
255,waymo_train,waymo_500-799,55659,1117;ego,ego,"range(0, 44)",3.0,0.5,44,1.0
256,waymo_train,waymo_500-799,111778,1482;ego,ego,"range(6, 51)",3.0,0.5,45,0.9724202982545699
257,waymo_train,waymo_500-799,111877,728;741;ego,ego,"range(11, 58)",3.0,0.5,47,1.0
258,waymo_train,waymo_500-799,111877,728;ego,ego,"range(4, 63)",3.0,0.5,59,1.0
259,waymo_train,waymo_500-799,56155,1870;ego,ego,"range(25, 65)",3.0,0.5,40,1.0
260,waymo_train,waymo_500-799,114024,924;ego,ego,"range(0, 34)",3.0,0.5,34,1.0
261,waymo_train,waymo_500-799,58408,17;ego,ego,"range(0, 41)",3.0,0.5,41,1.0
262,waymo_train,waymo_500-799,60002,630;ego,ego,"range(16, 65)",3.0,0.5,49,1.0
263,waymo_train,waymo_500-799,116482,207;ego,ego,"range(15, 72)",3.0,0.5,57,1.0
264,waymo_train,waymo_500-799,116522,165;ego,ego,"range(22, 70)",3.0,0.5,48,1.0
265,waymo_train,waymo_500-799,117440,458;484;488;ego,ego,"range(15, 61)",3.0,0.5,46,1.0
266,waymo_train,waymo_500-799,117669,594;ego,ego,"range(0, 55)",3.0,0.5,55,0.9710213625804498
