index,start_time,type,ego,total_background_vehicles,n_background_vehicles,impact
353,0.0,AV_1,ego,24,24,1.0
354,0.0,AV_1,ego,73,73,1.0
355,0.0,AV_1,ego,66,66,1.0
356,0.0,AV_1,ego,45,45,1.0
357,0.0,AV_1,ego,61,61,1.0
358,0.0,AV_1,ego,72,72,1.0
359,0.0,AV_1,ego,37,37,1.0
360,0.0,AV_1,ego,38,38,1.0
361,0.0,AV_1,ego,9,9,1.0
362,0.0,AV_1,ego,30,30,1.0
363,0.0,AV_1,ego,89,89,1.0
364,0.0,AV_2,447,27,27,1.0
365,0.0,AV_2,1744,39,39,1.0
366,0.0,AV_2,1526,55,55,1.0
367,11.0,AV_2,363,16,5,0.8520831756637668
368,0.0,AV_2,2281,41,41,1.0
369,12.0,AV_2,1547,65,5,0.8474726338933648
370,4.0,AV_2,14,154,37,0.8748072996937467
371,0.0,AV_2,1347,193,193,1.0
372,2.0,AV_2,408,39,0,1.0
373,0.0,AV_2,1036,112,112,1.0
374,2.0,AV_2,1412,32,0,1.0
375,1.0,AV_2,593,41,8,0.8712533245660374
376,0.0,AV_2,837,112,112,1.0
377,14.0,AV_2,12,15,2,0.7895425761503718
378,0.0,AV_2,934,47,47,1.0
379,9.0,AV_2,218,64,11,0.9978300042235606
380,0.0,AV_2,133,126,126,1.0
381,0.0,AV_2,46,34,34,1.0
382,15.0,AV_2,1082,14,5,0.9630361269919328
383,9.0,AV_2,1025,90,5,0.9861311170204727
384,0.0,AV_2,925,47,47,1.0
385,6.0,AV_2,1314,15,5,0.8674694054756333
386,0.0,AV_2,512,37,37,1.0
387,20.0,AV_2,115,67,12,0.8618809326594061
388,0.0,AV_2,19,35,35,1.0
389,20.0,AV_2,2691,75,5,0.8405492004722207
390,0.0,AV_2,512,35,35,1.0
391,17.0,AV_2,26,31,17,0.9367526291434195
392,8.0,AV_2,973,50,12,0.8680185204398849
393,8.0,AV_2,1025,83,12,0.9279866291798414
394,0.0,AV_2,1165,13,13,1.0
395,0.0,AV_2,2368,52,52,1.0
396,0.0,AV_2,599,26,26,1.0
397,21.0,AV_2,265,14,5,0.6157720921289047
398,0.0,AV_2,942,29,29,1.0
399,6.0,AV_2,973,24,8,0.8122525694201874
400,0.0,AV_2,1252,44,44,1.0
401,0.0,AV_2,1578,132,132,1.0
402,3.0,AV_2,4,36,0,1.0
403,0.0,AV_2,458,50,50,1.0
404,0.0,AV_2,2281,39,39,1.0
405,5.0,AV_2,209,70,13,0.7750543777267374
406,0.0,AV_2,209,70,70,1.0
407,4.0,AV_2,541,94,5,0.8585930554272583
408,0.0,AV_2,1347,199,199,1.0
409,0.0,AV_2,1196,46,46,1.0
410,7.0,AV_2,3099,31,7,0.9593738809341278
411,8.0,AV_2,541,47,4,0.8802714178609442
412,0.0,AV_2,3,61,61,1.0
413,0.0,AV_2,526,65,65,1.0
414,8.0,AV_2,973,51,12,0.8515369153174668
415,27.0,AV_2,1755,36,10,0.9470604796152664
416,0.0,AV_2,1493,62,62,1.0
417,0.0,AV_2,3200,6,6,1.0
418,0.0,AV_2,1307,33,33,1.0
419,0.0,AV_2,1700,42,42,1.0
420,0.0,AV_2,11,39,39,1.0
421,32.0,AV_2,180,155,26,0.826729801681489
422,16.0,AV_2,403,31,10,0.811565735283918
423,3.0,AV_2,734,44,5,0.8345067910786654
424,10.0,AV_2,1193,113,12,0.7824906212638916
