index,dataset,folder,scenario_idx,track_id,ego_id,timerange,comfortable_threshold,uncomfortable_threshold,linear_decay_slope,n_timesteps,a_p
180,waymo_train,waymo_500-799,3596,249;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,0.7311388125129151
181,waymo_train,waymo_500-799,41283,583;ego,ego,"range(24, 87)",0.89,2.12,0.5,63,0.9995850305048011
182,waymo_train,waymo_500-799,44011,728;ego,ego,"range(0, 43)",0.89,2.12,0.5,43,0.5748202045659424
183,waymo_train,waymo_500-799,44011,728;741;ego,ego,"range(0, 38)",0.89,2.12,0.5,38,0.5706154796534197
184,waymo_train,waymo_500-799,45391,2;ego,ego,"range(10, 68)",0.89,2.12,0.5,58,1.0
185,waymo_train,waymo_500-799,4842,204;ego,ego,"range(0, 30)",0.89,2.12,0.5,30,0.8615323654327521
186,waymo_train,waymo_500-799,61393,3512;ego,ego,"range(0, 53)",0.89,2.12,0.5,53,0.9686815318648971
187,waymo_train,waymo_500-799,73980,1176;ego,ego,"range(30, 82)",0.89,2.12,0.5,52,0.9461907739880728
188,waymo_train,waymo_500-799,81156,207;ego,ego,"range(36, 75)",0.89,2.12,0.5,39,0.9371088850769814
189,waymo_train,waymo_500-799,8268,2235;ego,ego,"range(35, 84)",0.89,2.12,0.5,49,0.8795615773626535
190,waymo_train,waymo_500-799,103660,2220;2227;ego,ego,"range(20, 65)",0.89,2.12,0.5,45,0.9772835126273842
191,waymo_train,waymo_500-799,13675,1667;ego,ego,"range(5, 45)",0.89,2.12,0.5,40,0.8670271455878954
192,waymo_train,waymo_500-799,15617,39;ego,ego,"range(29, 90)",0.89,2.12,0.5,61,0.9661408644161537
193,waymo_train,waymo_500-799,16609,1814;ego,ego,"range(0, 36)",0.89,2.12,0.5,36,0.7496015501639455
194,waymo_train,waymo_500-799,18275,1279;ego,ego,"range(7, 52)",0.89,2.12,0.5,45,0.9355102504837641
195,waymo_train,waymo_500-799,18960,1576;ego,ego,"range(0, 49)",0.89,2.12,0.5,49,0.607424348953876
196,waymo_train,waymo_500-799,19138,2116;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,1.0
197,waymo_train,waymo_500-799,21827,394;ego,ego,"range(0, 35)",0.89,2.12,0.5,35,0.9412239012427368
198,waymo_train,waymo_500-799,22409,757;ego,ego,"range(0, 30)",0.89,2.12,0.5,30,0.9335747417494213
199,waymo_train,waymo_500-799,23447,1205;ego,ego,"range(26, 84)",0.89,2.12,0.5,58,1.0
200,waymo_train,waymo_500-799,25101,590;ego,ego,"range(0, 39)",0.89,2.12,0.5,39,0.9723442061135944
201,waymo_train,waymo_500-799,25331,765;ego,ego,"range(11, 52)",0.89,2.12,0.5,41,0.92316151036066
202,waymo_train,waymo_500-799,81293,1201;ego,ego,"range(3, 43)",0.89,2.12,0.5,40,0.9048652086649345
203,waymo_train,waymo_500-799,81963,1166;ego,ego,"range(8, 74)",0.89,2.12,0.5,66,0.8850581152033923
204,waymo_train,waymo_500-799,82079,603;611;ego,ego,"range(30, 71)",0.89,2.12,0.5,41,0.9808033447672225
205,waymo_train,waymo_500-799,30061,627;ego,ego,"range(7, 56)",0.89,2.12,0.5,49,0.914146808564244
206,waymo_train,waymo_500-799,31145,514;ego,ego,"range(20, 68)",0.89,2.12,0.5,48,0.9123929911882601
207,waymo_train,waymo_500-799,85831,55;ego,ego,"range(0, 33)",0.89,2.12,0.5,33,1.0
208,waymo_train,waymo_500-799,32999,458;ego,ego,"range(30, 73)",0.89,2.12,0.5,43,0.9080343831664349
209,waymo_train,waymo_500-799,33356,182;ego,ego,"range(0, 61)",0.89,2.12,0.5,61,1.0
210,waymo_train,waymo_500-799,87038,32;ego,ego,"range(0, 49)",0.89,2.12,0.5,49,0.9750839797686236
211,waymo_train,waymo_500-799,34141,3864;ego,ego,"range(9, 71)",0.89,2.12,0.5,62,1.0
212,waymo_train,waymo_500-799,87917,1443;ego,ego,"range(10, 52)",0.89,2.12,0.5,42,0.9995026603946376
213,waymo_train,waymo_500-799,35190,2678;ego,ego,"range(0, 42)",0.89,2.12,0.5,42,1.0
214,waymo_train,waymo_500-799,3625,56;ego,ego,"range(3, 46)",0.89,2.12,0.5,43,0.7770455020823486
215,waymo_train,waymo_500-799,90559,1061;ego,ego,"range(0, 34)",0.89,2.12,0.5,34,1.0
216,waymo_train,waymo_500-799,90736,950;ego,ego,"range(18, 74)",0.89,2.12,0.5,56,0.9999249098338179
217,waymo_train,waymo_500-799,90874,1393;ego,ego,"range(11, 52)",0.89,2.12,0.5,41,0.9784191003952439
218,waymo_train,waymo_500-799,39025,2139;ego,ego,"range(30, 90)",0.89,2.12,0.5,60,0.7943117673421217
219,waymo_train,waymo_500-799,93026,813;ego,ego,"range(26, 68)",0.89,2.12,0.5,42,0.897719869431743
220,waymo_train,waymo_500-799,93061,2308;ego,ego,"range(21, 83)",0.89,2.12,0.5,62,0.9377022171245452
221,waymo_train,waymo_500-799,4008,3406;ego,ego,"range(2, 60)",0.89,2.12,0.5,58,0.9655389736667506
222,waymo_train,waymo_500-799,95655,2263;ego,ego,"range(28, 76)",0.89,2.12,0.5,48,0.9531853169083907
223,waymo_train,waymo_500-799,42218,1727;ego,ego,"range(0, 31)",0.89,2.12,0.5,31,0.994505556118977
224,waymo_train,waymo_500-799,96628,368;ego,ego,"range(0, 39)",0.89,2.12,0.5,39,0.9736771980157118
225,waymo_train,waymo_500-799,42375,1696;ego,ego,"range(0, 36)",0.89,2.12,0.5,36,0.9955653699725286
226,waymo_train,waymo_500-799,43410,44;ego,ego,"range(0, 32)",0.89,2.12,0.5,32,0.6535881844414009
227,waymo_train,waymo_500-799,97969,1118;ego,ego,"range(12, 69)",0.89,2.12,0.5,57,1.0
228,waymo_train,waymo_500-799,98656,1095;ego,ego,"range(0, 53)",0.89,2.12,0.5,53,0.9936519096112801
229,waymo_train,waymo_500-799,98967,1500;ego,ego,"range(2, 43)",0.89,2.12,0.5,41,1.0
230,waymo_train,waymo_500-799,99151,1849;ego,ego,"range(21, 81)",0.89,2.12,0.5,60,0.9016338349958609
231,waymo_train,waymo_500-799,44676,944;ego,ego,"range(0, 50)",0.89,2.12,0.5,50,1.0
232,waymo_train,waymo_500-799,100380,2078;ego,ego,"range(0, 52)",0.89,2.12,0.5,52,0.9231452447977797
233,waymo_train,waymo_500-799,100647,876;ego,ego,"range(7, 56)",0.89,2.12,0.5,49,0.9482674979675499
